date	count
2020-05-04	4684
2020-05-03	4407
2020-05-02	4102
2020-05-01	3952
2020-04-30 	3664
2020-04-29	3501
2020-04-28	3331
2020-04-27	3055
2020-04-26	2938
2020-04-25	2793
2020-04-24	2584
2020-04-23	2413
2020-04-22	2306
2020-04-21	2124
2020-04-20	1970
2020-04-19	1820
2020-04-18	1636
2020-04-17	1478
2020-04-16	1375
2020-04-15	1298
2020-04-14	1207
2020-04-13	1167
2020-04-12	1011
2020-04-11	947
2020-04-10	778
2020-04-09	690
2020-04-08	570
2020-04-07	532
2020-04-06	488
2020-04-05	426
2020-04-04	387
2020-04-03	372
2020-04-02	328
2020-04-01	288
2020-03-31	245
2020-03-30	225
2020-03-29	188
2020-03-28	156
2020-03-27	124
2020-03-26	80
2020-03-25	77
2020-03-24	46
2020-03-23	43
2020-03-22	31
2020-03-21	22
2020-03-20	16
2020-03-19	16
2020-03-18	14	
2020-03-17	12
2020-03-16 	2
2020-03-15	2	